"set_label","RDKit_ID","CID","PreferredName","IUPACName","PrimarySynonym","Synonyms","SMILES","source"
"Inactive","RDKit_inactive_68",7550,"(1-methylpyridin-1-ium-3-yl) N,N-dimethylcarbamate bromide","(1-methylpyridin-1-ium-3-yl) N,N-dimethylcarbamate bromide","PYRIDOSTIGMINE BROMIDE","PYRIDOSTIGMINE BROMIDE; 101-26-8; Kalimin; Kalymin; Regonol; Regonal; Mestinon bromide; Pyridostigmini bromidum; Piridostigmina bromuro; NSC-679759","C[N+]1=CC=CC(=C1)OC(=O)N(C)C.[Br-]","Non_anthelmintic"
"Inactive","RDKit_inactive_1",72301,"(13aS)-2,3,9,10-tetramethoxy-6,8,13,13a-tetrahydro-5H-isoquinolino[2,1-b]isoquinoline","(13aS)-2,3,9,10-tetramethoxy-6,8,13,13a-tetrahydro-5H-isoquinolino[2,1-b]isoquinoline","tetrahydropalmatine","tetrahydropalmatine; 483-14-7; (-)-Tetrahydropalmatine; Gindarine; Hyndarine; Caseanine; (-)-Corydalis B; (-)-rotundine; Tetrahydropalmatine, l-; Tetrahydropalmatine, (-)-","COC1=C(C2=C(C[C@H]3C4=CC(=C(C=C4CCN3C2)OC)OC)C=C1)OC","Non_anthelmintic"
"Inactive","RDKit_inactive_48",60700,"(19S)-8-[(dimethylamino)methyl]-19-ethyl-7,19-dihydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.02,11.04,9.015,20]henicosa-1(21),2,4(9),5,7,10,15(20)-heptaene-14,18-dione","(19S)-8-[(dimethylamino)methyl]-19-ethyl-7,19-dihydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.02,11.04,9.015,20]henicosa-1(21),2,4(9),5,7,10,15(20)-heptaene-14,18-dione","topotecan","topotecan; 123948-87-8; Hycamptamine; Topotecan lactone; Nogitecan; Hycamptin; Topotecane; (S)-Topotecan; Topotecanum; Topophore C","CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O","Non_anthelmintic"
"Inactive","RDKit_inactive_54",122334,"(1S,2R)-5-methoxy-1-methyl-N-propyl-1,2,3,4-tetrahydronaphthalen-2-amine","(1S,2R)-5-methoxy-1-methyl-N-propyl-1,2,3,4-tetrahydronaphthalen-2-amine","AJ 76","AJ 76; 85379-09-5; AJ-76; 5-methoxy-1-methyl-2-(n-propylamino)tetralin; RefChem:915312; (1S,2R)-5-methoxy-1-methyl-N-propyl-1,2,3,4-tetrahydronaphthalen-2-amine; (+)-AJ76; (+)-AJ 76; CHEMBL27441; (1S,2R)-5-methoxy-1-methyl-2-(propylamino)tetralin","CCCN[C@@H]1CCC2=C([C@@H]1C)C=CC=C2OC","Non_anthelmintic"
"Inactive","RDKit_inactive_16",4632,"(2-hydroxy-4-methoxyphenyl)-phenylmethanone","(2-hydroxy-4-methoxyphenyl)-phenylmethanone","oxybenzone","oxybenzone; 131-57-7; 2-HYDROXY-4-METHOXYBENZOPHENONE; Benzophenone-3; 2-Benzoyl-5-methoxyphenol; Advastab 45; 4-Methoxy-2-hydroxybenzophenone; Oxibenzona; Oxybenzon; Anuvex","COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O","Non_anthelmintic"
"Inactive","RDKit_inactive_33",5288209,"(2E,4E,6E,8E)-N-(4-hydroxyphenyl)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenamide","(2E,4E,6E,8E)-N-(4-hydroxyphenyl)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenamide","FENRETINIDE","FENRETINIDE; 65646-68-6; N-(4-Hydroxyphenyl)retinamide; 4-hydroxyphenylretinamide; 4-HPR; 4-Hydroxyphenyl retinamide; all-trans-4'-Hydroxyretinanilide; Fenretinida; McN-R-1967; Fenretinidum","CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)NC2=CC=C(C=C2)O)/C)/C","Non_anthelmintic"
"Inactive","RDKit_inactive_110",46232144,"(2R)-2-(4-fluorophenyl)-7-methoxy-2,3-dihydrochromen-4-one","(2R)-2-(4-fluorophenyl)-7-methoxy-2,3-dihydrochromen-4-one","CHEMBL600385","CHEMBL600385; (R)(+)-2-(4-fluorophenyl)-7-methoxychroman-4-one; BDBM50310166; PD178223","COC1=CC2=C(C=C1)C(=O)C[C@@H](O2)C3=CC=C(C=C3)F","Non_anthelmintic"
"Inactive","RDKit_inactive_118",44593508,"(2S)-2-(2,4-dihydroxyphenyl)-7-hydroxy-8-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one","(2S)-2-(2,4-dihydroxyphenyl)-7-hydroxy-8-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one","(2S)-euchrenone a7","(2S)-euchrenone a7; RefChem:68974; (2S)-2-(2,4-dihydroxyphenyl)-7-hydroxy-8-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one; 130252-50-5; CHEMBL457686; JJOUBYOHNYJCOU-IBGZPJMESA-N; BDBM50251006","CC(=CCC1=C(C=CC2=C1O[C@@H](CC2=O)C3=C(C=C(C=C3)O)O)O)C","Non_anthelmintic"
"Inactive","RDKit_inactive_111",46232145,"(2S)-2-(4-fluorophenyl)-7-methoxy-2,3-dihydrochromen-4-one","(2S)-2-(4-fluorophenyl)-7-methoxy-2,3-dihydrochromen-4-one","CHEMBL598096","CHEMBL598096; (S)(+)-2-(4-fluorophenyl)-7-methoxychroman-4-one; BDBM50310165; PD178337","COC1=CC2=C(C=C1)C(=O)C[C@H](O2)C3=CC=C(C=C3)F","Non_anthelmintic"
"Inactive","RDKit_inactive_39",9804740,"(2S)-2-dodecylsulfanyl-N-(4-hydroxy-2,3,5-trimethylphenyl)-2-phenylacetamide","(2S)-2-dodecylsulfanyl-N-(4-hydroxy-2,3,5-trimethylphenyl)-2-phenylacetamide","Eflucimibe","Eflucimibe; 202340-45-2; EFLUCIMIBUM; f-12511; eflucimiba; 3DK1X2C37M; (S)-2',3',5'-Trimethyl-4'-hydroxy-alpha-dodecylthioacetanilide; DTXSID70174085; RefChem:136335; F 12511","CCCCCCCCCCCCS[C@@H](C1=CC=CC=C1)C(=O)NC2=C(C(=C(C(=C2)C)O)C)C","Non_anthelmintic"
