SMILES,CID,PreferredName,IUPACName,PrimarySynonym,Synonyms
C1=C(C=C(C(=C1NC(=O)C2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl)Cl,16779,"2,3,5-trichloro-N-(3,5-dichloro-2-hydroxyphenyl)-6-hydroxybenzamide","2,3,5-trichloro-N-(3,5-dichloro-2-hydroxyphenyl)-6-hydroxybenzamide",Oxyclozanide,"Oxyclozanide; 2277-92-1; Zanil; Diplin; Zanilox; Oxiclozanidum; Oxiclozanida; Oxyclozanidum; Benzamide, 2,3,5-trichloro-N-(3,5-dichloro-2-hydroxyphenyl)-6-hydroxy-; 3,3',5,5',6-Pentachloro-2'-hydroxysalicylanilide"
C1=CC(=O)OC2=CC3=C(C=CO3)C=C21,6199,"furo[3,2-g]chromen-7-one","furo[3,2-g]chromen-7-one",Psoralen,"Psoralen; 66-97-7; 7H-Furo[3,2-g]chromen-7-one; Ficusin; Furocoumarin; Psoralene; 7H-Furo[3,2-g][1]benzopyran-7-one; Psorline-P; 6,7-Furanocoumarin; Furo(3,2-g)-coumarin"
COC1=C(C=C(C=C1)/C(=C\F)/CN)OC,6438383,"(E)-2-(3,4-dimethoxyphenyl)-3-fluoroprop-2-en-1-amine","(E)-2-(3,4-dimethoxyphenyl)-3-fluoroprop-2-en-1-amine","2-(3,4-dimethoxyphenyl)-3-fluoroallylamine","2-(3,4-dimethoxyphenyl)-3-fluoroallylamine; 85278-66-6; 2-Dlpfa; MDL-72145; RefChem:84162; CHEMBL445285; Mdl 72145; 2-(3,4-dimethoxyphenyl)-3-fluoroprop-2-en-1-amine; SCHEMBL4911583; CHEBI:230175"
CCCCC(=N)NC(=O)Nc1ccc(Cl)cc1,137321714,1-(4-chlorophenyl)-3-pentanimidoylurea,1-(4-chlorophenyl)-3-pentanimidoylurea,Carbantel Lauryl,Carbantel Lauryl; SCHEMBL29484457; Q27272825
CCCCC(=N)NC(=O)Nc1ccc(Cl)cc1.CCCCCCCCCCCCOS(=O)(=O)O,135565401,1-(4-chlorophenyl)-3-pentanimidoylurea;dodecyl hydrogen sulfate,1-(4-chlorophenyl)-3-pentanimidoylurea;dodecyl hydrogen sulfate,Carbantel lauryl sulfate,Carbantel lauryl sulfate; 0DMO75HN8B; Carbantel laurylsulfate; Carbantel lauryl sulfate [USAN]; Win 29194-6; Carbantel lauryl sulphate; UNII-0DMO75HN8B; 54644-15-4; DTXSID40203078; WIN-29194-6
C[C@H]1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,3033985,"(3S)-5-(2-chlorophenyl)-3-methyl-7-nitro-1,3-dihydro-1,4-benzodiazepin-2-one","(3S)-5-(2-chlorophenyl)-3-methyl-7-nitro-1,3-dihydro-1,4-benzodiazepin-2-one",Meclonazepam,"Meclonazepam; 58662-84-3; Meclonazepamum; RN43209SMA; Ro 11-3128; DTXSID10207366; Ro 11-3128/002; (+)-(S)-5-(o-Chlorophenyl)-1,3-dihydro-3-methyl-7-nitro-2H-1,4-benzodiazepin-2-one; 3-Methylclonazepam; 2H-1,4-Benzodiazepin-2-one, 5-(2-chlorophenyl)-1,3-dihydro-3-methyl-7-nitro-, (S)-"
CC1=C(SSC1=S)C2=NC=CN=C2,47318,4-methyl-5-pyrazin-2-yldithiole-3-thione,4-methyl-5-pyrazin-2-yldithiole-3-thione,Oltipraz,"Oltipraz; 64224-21-1; 4-methyl-5-(pyrazin-2-yl)-3H-1,2-dithiole-3-thione; Oltiprazum; RP 35972; 4-Methyl-5-pyrazinyl-3H-1,2-dithiole-3-thione; RP-35,972; 3H-1,2-DITHIOLE-3-THIONE, 4-METHYL-5-PYRAZINYL-; NSC-347901; 6N510JUL1Y"
CC(=O)Oc1c(I)cc(I)cc1C(=O)Nc1ccc(Cl)cc1,26695,"[2-[(4-chlorophenyl)carbamoyl]-4,6-diiodophenyl] acetate","[2-[(4-chlorophenyl)carbamoyl]-4,6-diiodophenyl] acetate",CLIOXANIDE,"CLIOXANIDE; 14437-41-3; Clioxanida; Clioxanidum; SYD-230; CN 59,567; Benzamide, 2-(acetyloxy)-N-(4-chlorophenyl)-3,5-diiodo-; CN 59567; 4'-Chloro-3,5-diiodosalicylanilide acetate; CI-633"
O=C(c1ccc(Cl)cc1)c1ccc(NC(=O)c2cc(I)cc(I)c2O)cc1Cl,185463,"N-[3-chloro-4-(4-chlorobenzoyl)phenyl]-2-hydroxy-3,5-diiodobenzamide","N-[3-chloro-4-(4-chlorobenzoyl)phenyl]-2-hydroxy-3,5-diiodobenzamide",Salantel,"Salantel; 36093-47-7; N-[3-chloro-4-(4-chlorobenzoyl)phenyl]-2-hydroxy-3,5-diiodobenzamide; BIY8B0682Q; R-23050; R 23,050; 3'-Chloro-4'-(p-chlorobenzoyl)-3,5-diiodosalicylanilide; Salantelum; Benzamide, N-(3-chloro-4-(4-chlorobenzoyl)phenyl)-2-hydroxy-3,5-diiodo-; Salantel (USAN/INN)"
CCOP(=O)(/N=C(\SCCS/C(=N/P(=O)(OCC)OCC)SCc1ccccc1)SCc1ccccc1)OCC,3084366,1-benzylsulfanyl-1-[2-(C-benzylsulfanyl-N-diethoxyphosphorylcarbonimidoyl)sulfanylethylsulfanyl]-N-diethoxyphosphorylmethanimine,1-benzylsulfanyl-1-[2-(C-benzylsulfanyl-N-diethoxyphosphorylcarbonimidoyl)sulfanylethylsulfanyl]-N-diethoxyphosphorylmethanimine,SCHEMBL635820,"SCHEMBL635820; DTXSID70865027; NS00120904; Q27280448; Dibenzyl ethane-1,2-diyl bis[(diethoxyphosphoryl)carbonodithioimidate]"
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,4477,5-chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide,5-chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide,niclosamide,niclosamide; 50-65-7; 5-Chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide; Niclocide; Cestocid; Mansonil; Phenasal; Tredemine; Vermitid; Fenasal
C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O.C(CO)N,14992,2-aminoethanol;5-chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide,2-aminoethanol;5-chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide,1420-04-8,1420-04-8; Niclosamide-olamine; Clonitralid; Niclosamide ethanolamine salt; Mollutox; CLONITRALIDE; Baylucit; Phenasal ethanolamine salt; Molluscicide bayer 73; Bay 73
